ACC,ACC_bal,MCC,F1,TPR,TNR,PPV,NPV,FPR,FNR,FDR,FOR,LRp,LRn,sl_omega,f_norm,f_norm_rel,edge_count,n,round,time,tau_time
0.984321608040201,0.902575757575758,0.418149794519776,0.34453781512605,0.82,0.985151515151515,0.218085106382979,0.999078057775046,0.0148484848484849,0.18,0.781914893617021,0.000921942224953898,55.2244897959182,0.182713011381114,5.61535859279977,15.3055506620969,0.294227516959742,376,120,1,158.8888388,494.1766454
0.990201005025126,0.890606060606061,0.493052522586767,0.447592067988669,0.79,0.991212121212121,0.312252964426877,0.998931134524355,0.00878787878787879,0.21,0.687747035573123,0.00106886547564511,89.8965517241379,0.211861815958422,5.01010919189576,15.7781624867174,0.201909220968948,253,120,2,209.5033144,960.6826496
0.976683417085427,0.903712121212121,0.354594205701094,0.263492063492063,0.83,0.977424242424242,0.156603773584906,0.999122354155911,0.0225757575757576,0.17,0.843396226415094,0.000877645844088781,36.7651006711409,0.173926523019687,6.00582537685904,8.9289883279717,0.205945074299513,530,120,3,163.880145,536.1189371
0.995125628140703,0.768712121212121,0.524538591187919,0.526829268292683,0.54,0.997424242424242,0.514285714285714,0.997676180853751,0.00257575757575756,0.46,0.485714285714286,0.00232381914624902,209.64705882353,0.461187908248519,4.96321465232651,4.28168410257525,0.21272418512985,105,120,4,111.3350505,379.4108284
0.988844221105528,0.865050505050505,0.446245153607912,0.4,0.74,0.99010101010101,0.274074074074074,0.998675496688742,0.00989898989898985,0.26,0.725925925925926,0.00132450331125833,74.7551020408167,0.262599469496021,5.36842893289244,7.96692653598943,0.207182071745801,270,120,5,144.4431669,537.8585279
0.979346733668342,0.900075757575758,0.370661525271078,0.285217391304348,0.82,0.980151515151515,0.172631578947368,0.999073359073359,0.0198484848484849,0.18,0.827368421052632,0.000926640926640965,41.3129770992365,0.183645076518782,5.79194302351462,11.2180184788517,0.22810922713076,475,120,6,183.2550599,600.2151393
0.987587939698492,0.844520202020202,0.408662061492979,0.361757105943152,0.7,0.989040404040404,0.24390243902439,0.998470402284199,0.0109595959595959,0.3,0.75609756097561,0.00152959771580075,63.8709677419356,0.303324311903181,6.422269450497,4.64447376372619,0.235960403620909,287,120,7,115.495611,380.7844232
0.992160804020101,0.886616161616162,0.532566524764154,0.5,0.78,0.993232323232323,0.367924528301887,0.998882568061764,0.00676767676767676,0.22,0.632075471698113,0.00111743193823644,115.253731343284,0.221499033865555,5.62033356276078,10.6623549651437,0.241369856043245,212,120,8,141.6770442,540.4335611
0.986180904522613,0.828888888888889,0.376187404477095,0.327628361858191,0.67,0.987777777777778,0.216828478964401,0.998315553060079,0.0122222222222222,0.33,0.783171521035599,0.00168444693992142,54.8181818181817,0.334083239595051,5.21448901528206,5.41702482181119,0.18423659150805,309,120,9,144.6158856,554.6138833
0.991407035175879,0.821565656565657,0.45479128261256,0.431893687707641,0.65,0.993131313131313,0.323383084577114,0.998223260063963,0.00686868686868691,0.35,0.676616915422886,0.00177673993603733,94.6323529411759,0.352420667209113,5.06667374363607,6.06886086396546,0.182729842367678,201,120,10,132.4406319,466.6874894
0.992613065326633,0.807247474747475,0.470760831557809,0.457564575645756,0.62,0.99449494949495,0.362573099415205,0.998073901363475,0.00550505050505046,0.38,0.637426900584795,0.00192609863652493,112.62385321101,0.382103499060484,5.45070181400979,4.8551415832767,0.217811175730579,171,120,11,110.8964119,377.9914516
0.994120603015075,0.882626262626263,0.586255290520582,0.568265682656827,0.77,0.995252525252525,0.450292397660819,0.99883420345684,0.00474747474747472,0.23,0.549707602339181,0.00116579654315985,162.191489361703,0.231097127778342,5.43703834263059,23.6813039129661,0.280411422670767,171,120,12,177.4466796,838.0228779
0.990502512562814,0.766388888888889,0.380521679965811,0.363636363636364,0.54,0.992777777777778,0.274111675126904,0.997665330152769,0.00722222222222224,0.46,0.725888324873097,0.00233466984723141,74.7692307692306,0.463346390598769,4.87472764105581,3.84761116099266,0.202830588677003,197,120,13,110.3119186,365.3173774
0.992311557788945,0.74739898989899,0.400556915793184,0.395256916996047,0.5,0.99479797979798,0.326797385620915,0.9974679698182,0.00520202020202021,0.5,0.673202614379085,0.00253203018179982,96.1165048543688,0.502614611362136,6.23747533493932,5.04296467149341,0.218748147331049,153,120,14,115.2915256,401.2612693
0.995025125628141,0.808459595959596,0.556580662876201,0.556053811659193,0.62,0.996919191919192,0.504065040650406,0.99807857612378,0.00308080808080813,0.38,0.495934959349594,0.00192142387621985,201.245901639341,0.381174324940473,5.00184895722586,5.78224906637108,0.183563801561528,123,120,15,120.4347747,421.8327867
0.993065326633166,0.787575757575758,0.464103599338331,0.456692913385827,0.58,0.995151515151515,0.376623376623377,0.997872986934063,0.00484848484848488,0.42,0.623376623376623,0.00212701306593743,119.624999999999,0.42204628501827,5.32591023629303,4.40358955152881,0.215737973301913,154,120,16,112.8884258,371.0497488
0.994522613065327,0.773383838383838,0.501461765606109,0.502283105022831,0.55,0.996767676767677,0.46218487394958,0.997725089732572,0.00323232323232325,0.45,0.53781512605042,0.00227491026742832,170.156249999999,0.451459262261856,5.94974969051862,5.54520228694212,0.217020922435426,119,120,17,118.4536021,406.2741642
0.990251256281407,0.801085858585859,0.410931463701127,0.386075949367089,0.61,0.992171717171717,0.282407407407407,0.998018695387116,0.00782828282828285,0.39,0.717592592592593,0.00198130461288359,77.9225806451611,0.393077118859761,5.853125311322,4.10596545012519,0.223448073760753,216,120,18,111.269964,343.3357724
