p,structure,time
100,random,12611.7852512
100,bdgraph_sf,11135.5268219
100,huge_sf,5716.0252046
100,hubs,7049.3005423
200,random,33462.4171184
200,bdgraph_sf,46673.9794974
200,huge_sf,23120.1483679
200,hubs,28900.0877214
