ACC,ACC_bal,MCC,F1,TPR,TNR,PPV,NPV,FPR,FNR,FDR,FOR,LRp,LRn,sl_omega,f_norm,f_norm_rel,edge_count,n,round,time
0.996130653266332,0.861250697934115,0.790401504491136,0.789041095890411,0.723618090452261,0.998883305415969,0.867469879518072,0.997212931995541,0.0011166945840313,0.276381909547739,0.132530120481928,0.00278706800445927,647.999999999983,0.276690888764673,9.2654857201976,15.8065985047042,0.148117679963366,166,120,1,1135.2334504
0.993718592964824,0.703339931983148,0.609842725336754,0.564459930313589,0.407035175879397,0.999644688086899,0.920454545454545,0.994044013729053,0.000355311913100897,0.592964824120603,0.0795454545454546,0.00595598627094696,1145.5714285713,0.593175586473037,8.85339656216712,5.28231845225113,0.226860534231836,88,120,2,1129.7953041
0.995979899497487,0.816405258616314,0.772766275326318,0.759036144578313,0.633165829145729,0.999644688086899,0.947368421052632,0.996306976273587,0.000355311913100897,0.366834170854271,0.0526315789473685,0.00369302372641267,1781.9999999998,0.36696455773332,7.88159403315643,6.91524088511554,0.133873318865362,133,120,3,1130.7859603
0.993366834170854,0.715598192985128,0.592206791095107,0.565789473684211,0.4321608040201,0.999035581950155,0.819047619047619,0.994291487749432,0.00096441804984515,0.5678391959799,0.180952380952381,0.00570851225056834,448.105263157911,0.568387359008231,8.6915038650593,5.0428527880313,0.214139010248634,105,120,4,1131.8060577
0.995175879396985,0.820973554641896,0.731263072324931,0.727272727272727,0.64321608040201,0.998731028881783,0.836601307189543,0.996404517141844,0.00126897111821733,0.35678391959799,0.163398692810457,0.0035954828581557,506.880000000007,0.357237243342143,8.96956991295446,12.8889417309688,0.198500128569363,153,120,5,1123.6937662
0.994773869346734,0.783462768387391,0.697539322365099,0.684848484848485,0.5678391959799,0.999086340794883,0.862595419847328,0.995649754666397,0.000913659205116546,0.4321608040201,0.137404580152672,0.00435024533360306,621.499999999963,0.432556012802926,8.22385706195934,5.70686468948544,0.147451737819432,131,120,6,1118.1893038
0.994522613065327,0.763438404141922,0.677136133839391,0.658307210031348,0.527638190954774,0.99923861732907,0.875,0.995247724974722,0.000761382670930399,0.472361809045226,0.125,0.00475227502527809,693.000000000009,0.472721731179518,9.15434402045656,5.88462896295602,0.169384075220269,120,120,7,1129.2098429
0.99572864321608,0.808816811329374,0.757065179967793,0.743202416918429,0.618090452261307,0.999543170397442,0.931818181818182,0.996155402670983,0.000456829602558217,0.381909547738693,0.0681818181818182,0.00384459732901654,1353.00000000008,0.382084095063985,7.87574040897738,10.2821435121688,0.160039189084002,132,120,8,1130.2240066
0.994522613065327,0.78333587127557,0.684376918111001,0.674626865671642,0.5678391959799,0.99883254657124,0.830882352941177,0.995648654118599,0.00116745342876001,0.4321608040201,0.169117647058823,0.00435134588140051,486.391304347805,0.432665921333469,9.54339524770629,7.71348946495072,0.167575267021156,136,120,9,1127.987407
0.994572864321608,0.765950966955992,0.680780947017618,0.6625,0.532663316582915,0.99923861732907,0.87603305785124,0.995298043379342,0.000761382670930399,0.467336683417085,0.12396694214876,0.00470195662065831,699.600000000009,0.467692776592502,7.65488749785555,5.44924571126691,0.171997292324006,121,120,10,1133.138026
0.993366834170854,0.688239175676362,0.581236234865604,0.531914893617021,0.376884422110553,0.99959392924217,0.903614457831325,0.993742746127063,0.000406070757829502,0.623115577889447,0.0963855421686747,0.00625725387293741,928.125000000114,0.6233687096938,7.54369863762361,5.34705240702673,0.196380886944709,83,120,11,1129.1718184
0.994472361809045,0.755951474544439,0.67195680703493,0.64968152866242,0.512562814070352,0.999340135018527,0.88695652173913,0.995097295931261,0.000659864981472968,0.487437185929648,0.11304347826087,0.00490270406873894,776.769230769293,0.487759041040228,8.14127730645444,5.56740062949739,0.14201624488901,115,120,12,1127.1142833
0.994020100502513,0.76815897670169,0.652501049220018,0.642642642642643,0.537688442211055,0.998629511192325,0.798507462686567,0.995345542851361,0.00137048880767476,0.462311557788945,0.201492537313433,0.0046544571486391,392.333333333326,0.462946020128088,8.93813198245348,5.67857549863038,0.183057164787655,134,120,13,1129.6018744
0.993417085427136,0.69821328866555,0.587854631349435,0.546712802768166,0.396984924623116,0.999441652707984,0.877777777777778,0.993942453306411,0.000558347292015648,0.603015075376884,0.122222222222222,0.00605754669358904,710.999999999981,0.603351955307262,8.26549174938185,4.88382029684171,0.207495217732517,90,120,14,1130.1146217
0.993618090452261,0.718212273488655,0.608091730785871,0.578073089700997,0.437185929648241,0.99923861732907,0.852941176470588,0.994342862915446,0.000761382670930399,0.562814070351759,0.147058823529412,0.00565713708455395,574.200000000008,0.563242913745809,7.70403703732416,5.20987878464544,0.212329204868153,102,120,15,1126.3164318
0.994572864321608,0.788335617481346,0.688949046373354,0.680473372781065,0.577889447236181,0.998781787726511,0.827338129496403,0.995749202975558,0.00121821227348862,0.422110552763819,0.172661870503597,0.00425079702444209,474.375000000015,0.422625400213447,8.9159153418278,6.4763937576733,0.131509916539299,139,120,16,1127.7126242
0.994472361809045,0.773361758286381,0.677843218329007,0.664634146341463,0.547738693467337,0.998984823105426,0.844961240310077,0.995447878205452,0.00101517689457387,0.452261306532663,0.155038759689923,0.00455212179454756,539.550000000007,0.452720898328337,8.35456277413309,7.81522358178303,0.176785278600165,129,120,17,1130.9859553
0.992914572864322,0.673087660524846,0.544339636298607,0.494623655913978,0.346733668341709,0.999441652707984,0.8625,0.993440968718466,0.000558347292015648,0.653266331658291,0.1375,0.00655903128153379,620.999999999984,0.653631284916201,8.08088839349384,5.24465181445488,0.242181999077614,80,120,18,1127.9536734
