ACC,ACC_bal,MCC,F1,TPR,TNR,PPV,NPV,FPR,FNR,FDR,FOR,LRp,LRn,sl_omega,f_norm,f_norm_rel,edge_count,n,round,time
0.998341708542714,0.87479797979798,0.822435467983713,0.819672131147541,0.75,0.99959595959596,0.903614457831325,0.998738456880456,0.000404040404040407,0.25,0.0963855421686747,0.00126154311954385,1856.24999999999,0.250101050929669,5.48064148261324,6.38809585030798,0.122802088054991,83,120,1,768.304455
0.998291457286432,0.84989898989899,0.812965037679278,0.804597701149425,0.7,0.99979797979798,0.945945945945946,0.998486835468577,0.000202020202020203,0.3,0.0540540540540541,0.00151316453142336,3464.99999999998,0.300060618306729,4.90353527417781,20.3308241338345,0.260168499720733,74,120,2,761.151296
0.998190954773869,0.874722222222222,0.807861171047164,0.806451612903226,0.75,0.999444444444444,0.872093023255814,0.998738265872615,0.000555555555555531,0.25,0.127906976744186,0.00126173412738473,1350.00000000006,0.250138966092273,5.20852044377142,5.11254409690087,0.117919660685116,86,120,3,764.4650348
0.996884422110553,0.714873737373737,0.619474133074465,0.581081081081081,0.43,0.999747474747475,0.895833333333333,0.997128752770502,0.000252525252525282,0.57,0.104166666666667,0.00287124722949827,1702.7999999998,0.570143975751452,4.82823394420308,3.78016548481659,0.187807554959495,48,120,4,767.5495507
0.998090452261307,0.82989898989899,0.788012668498638,0.776470588235294,0.66,0.99979797979798,0.942857142857143,0.998285426122037,0.000202020202020203,0.34,0.0571428571428572,0.0017145738779627,3266.99999999998,0.340068700747626,4.98136922152827,5.52646337493213,0.143717169509902,70,120,5,763.8968117
0.998140703517588,0.87469696969697,0.803171011968827,0.802139037433155,0.75,0.999393939393939,0.862068965517241,0.998738202190481,0.00060606060606061,0.25,0.137931034482759,0.00126179780951896,1237.49999999999,0.250151607034566,5.52569468074938,8.9225143776152,0.181432029424615,87,120,6,759.6858624
0.997035175879397,0.76469696969697,0.656052779048921,0.642424242424242,0.53,0.999393939393939,0.815384615384615,0.997630451222586,0.00060606060606061,0.47,0.184615384615385,0.00236954877741369,874.499999999994,0.470285021224985,6.01980578333027,4.16706479308792,0.211705855283517,65,120,7,761.2211454
0.998140703517588,0.849823232323232,0.796858456786949,0.790960451977401,0.7,0.999646464646465,0.909090909090909,0.998486606467235,0.000353535353535328,0.3,0.0909090909090909,0.00151339353276492,1980.00000000014,0.300106098115495,5.07534028965031,6.81948086981418,0.154376506992846,77,120,8,762.9614425
0.997587939698492,0.789848484848485,0.723963362496612,0.707317073170732,0.58,0.99969696969697,0.90625,0.997882637628554,0.000303030303030249,0.42,0.09375,0.00211736237144589,1914.00000000034,0.420127311306457,5.38545408938745,5.13892085134503,0.174778091816994,64,120,9,755.611308
0.997537688442211,0.79479797979798,0.719706601974059,0.706586826347305,0.59,0.99959595959596,0.880597014925373,0.997932738365351,0.000404040404040407,0.41,0.119402985074627,0.00206726163464932,1460.24999999999,0.410165723524656,5.020294072849,5.62440908661177,0.169347659938996,67,120,10,765.9105041
0.997386934673367,0.784772727272727,0.700460843987692,0.686746987951807,0.57,0.999545454545455,0.863636363636364,0.997832005646869,0.000454545454545485,0.43,0.136363636363636,0.00216799435313098,1253.99999999992,0.430195543428831,5.36877179640385,4.05069176124617,0.181721978629457,66,120,11,763.3915205
0.998140703517588,0.859772727272727,0.799111629285666,0.795580110497238,0.72,0.999545454545455,0.888888888888889,0.998587214289318,0.000454545454545485,0.28,0.111111111111111,0.00141278571068171,1583.99999999989,0.28012733060482,4.82911456216556,8.67157020261123,0.102680466677018,81,120,12,765.1827936
0.996834170854271,0.709873737373737,0.611446814720024,0.571428571428571,0.42,0.999747474747475,0.893617021276596,0.997078527174734,0.000252525252525282,0.58,0.106382978723404,0.00292147282526567,1663.19999999981,0.580146501641829,4.90471050746498,3.58611750034824,0.189045694386872,47,120,13,761.0315749
0.996884422110553,0.719848484848485,0.621041768648638,0.586666666666667,0.44,0.99969696969697,0.88,0.997178841309824,0.000303030303030249,0.56,0.12,0.0028211586901763,1452.00000000026,0.560169748408609,5.98709204797129,4.27341021214404,0.185367264612477,50,120,14,762.8731865
0.997587939698492,0.77989898989899,0.721967192483784,0.7,0.56,0.99979797979798,0.933333333333333,0.997782258064516,0.000202020202020203,0.44,0.0666666666666667,0.00221774193548385,2771.99999999998,0.440088906849869,4.87447518529663,5.9288467564071,0.188217705081467,60,120,15,761.3472465
0.997386934673367,0.764873737373737,0.694855934242893,0.670886075949367,0.53,0.999747474747475,0.913793103448276,0.997631287168632,0.000252525252525282,0.47,0.0862068965517241,0.00236871283136786,2098.79999999976,0.470118716847689,4.87573922409658,3.57300901280836,0.175046678168526,58,120,16,758.9287334
0.996984924623116,0.744772727272727,0.642123993766456,0.620253164556962,0.49,0.999545454545455,0.844827586206897,0.997429694587239,0.000454545454545485,0.51,0.155172413793103,0.00257030541276082,1077.99999999993,0.510231923601637,5.55097342813619,4.75497917111906,0.186094196835251,58,120,17,751.9041668
0.99678391959799,0.709848484848485,0.604986490286615,0.567567567567568,0.42,0.99969696969697,0.875,0.997078380012089,0.000303030303030249,0.58,0.125,0.00292161998791052,1386.00000000024,0.580175810851773,5.67953156045942,3.77677832025155,0.205533595187911,48,120,18,745.3844309
0.99748743718593,0.78979797979798,0.712821552327991,0.698795180722891,0.58,0.99959595959596,0.878787878787879,0.997882424120198,0.000404040404040407,0.42,0.121212121212121,0.00211757587980232,1435.49999999999,0.420169765561843,5.19900294763409,4.18567819876412,0.156507815719339,66,120,19,749.1787812
