ACC,ACC_bal,MCC,F1,TPR,TNR,PPV,NPV,FPR,FNR,FDR,FOR,LRp,LRn,sl_omega,f_norm,edge_count,n,round,time
0.990804020100503,0.547662555200244,0.285417308949531,0.171945701357466,0.0954773869346734,0.999847723465814,0.863636363636364,0.990944763054633,0.000152276534186035,0.904522613065327,0.136363636363636,0.0090552369453667,627.000000000191,0.904660371611331,9.49278838956704,5.36967364754587,22,120,1,917.7450352
0.99070351758794,0.567509263489163,0.299946930247902,0.225941422594142,0.135678391959799,0.999340135018527,0.675,0.991339375629406,0.000659864981472968,0.864321608040201,0.325,0.00866062437059412,205.615384615401,0.864892320195043,7.46650965194394,4.65687070905839,40,120,2,912.2778475
0.990854271356784,0.555149484797726,0.29814568664621,0.194690265486726,0.110552763819095,0.999746205776357,0.814814814814815,0.99109344336537,0.000253794223643466,0.889447236180904,0.185185185185185,0.00890655663462991,435.600000000006,0.889673030056864,6.98562076383826,4.58406332147853,27,120,3,923.3397271
0.990854271356784,0.550175118014314,0.293866266330923,0.18018018018018,0.100502512562814,0.999847723465814,0.869565217391304,0.990994616893897,0.000152276534186035,0.899497487437186,0.130434782608696,0.00900538310610255,660.000000000201,0.899634480657935,8.95469878289475,5.06378489434929,23,120,4,914.9382102
0.990653266331658,0.537637683366327,0.256364647915485,0.138888888888889,0.0753768844221105,0.999898482310543,0.882352941176471,0.990745863300307,0.000101517689457431,0.924623115577889,0.117647058823529,0.00925413669969322,742.499999999685,0.924716990710188,7.25699610564084,4.89787852288871,17,120,5,912.9273153
0.990904522613065,0.547713314044972,0.299651919549774,0.17351598173516,0.0954773869346734,0.999949241155271,0.95,0.990945674044266,5.07588447287155e-05,0.904522613065327,0.05,0.00905432595573441,1880.9999999992,0.904568527918782,7.85277713025897,4.99668888545319,20,120,6,914.0056926
0.990954773869347,0.557687427034161,0.311866150826891,0.20353982300885,0.115577889447236,0.999796964621085,0.851851851851852,0.991143762894379,0.000203035378914751,0.884422110552764,0.148148148148148,0.00885623710562067,569.25000000007,0.88460171599736,6.74142511840591,4.68019075569042,27,120,7,917.2212082
0.990653266331658,0.545099233541445,0.264137761896839,0.162162162162162,0.0904522613065327,0.999746205776357,0.782608695652174,0.990893998088243,0.000253794223643466,0.909547738693467,0.217391304347826,0.00910600191175726,356.400000000005,0.90977863525589,7.32113326305651,4.60520210889248,23,120,8,915.3219906
0.990653266331658,0.540124866758033,0.25853441309037,0.146788990825688,0.0804020100502513,0.999847723465814,0.842105263157895,0.990795231628188,0.000152276534186035,0.919597989949749,0.157894736842105,0.00920476837181228,528.000000000161,0.91973804447152,8.73669000196023,4.91420319840377,19,120,9,917.4283024
0.99105527638191,0.562712552662301,0.327149520035826,0.219298245614035,0.125628140703518,0.999796964621085,0.862068965517241,0.99124352070857,0.000203035378914751,0.874371859296482,0.137931034482759,0.00875647929142975,618.750000000076,0.874549423770117,8.00835337154859,4.69119490416871,29,120,10,922.547438
0.99105527638191,0.577635653012537,0.340715007523164,0.258333333333333,0.155778894472362,0.999492411552713,0.75609756097561,0.99154035953472,0.000507588447286933,0.844221105527638,0.24390243902439,0.00845964046528025,306.900000000004,0.844649840028439,7.04488737141671,4.7605329998388,41,120,11,920.90337
0.990804020100503,0.547662555200244,0.285417308949531,0.171945701357466,0.0954773869346734,0.999847723465814,0.863636363636364,0.990944763054633,0.000152276534186035,0.904522613065327,0.136363636363636,0.0090552369453667,627.000000000191,0.904660371611331,7.56324859401568,5.06728746446868,22,120,12,912.6789025
0.990804020100503,0.552636921983656,0.28997585526222,0.186666666666667,0.105527638190955,0.999746205776357,0.807692307692308,0.991043574519473,0.000253794223643466,0.894472361809045,0.192307692307692,0.00895642548052733,415.800000000006,0.894699431356621,7.74719016987427,4.62593153204951,26,120,13,917.7004118
0.990603015075377,0.535125120552256,0.246607695183063,0.130232558139535,0.0703517587939698,0.999898482310543,0.875,0.990696037014685,0.000101517689457431,0.92964824120603,0.125,0.00930396298531477,692.999999999706,0.929742626529266,8.33394747738024,5.07533394650297,16,120,14,916.8859745
0.990904522613065,0.565123597786914,0.313793816034383,0.223175965665236,0.130653266331658,0.99959392924217,0.764705882352941,0.991291654082352,0.000406070757829502,0.869346733668342,0.235294117647059,0.00870834591764824,321.75000000004,0.869699893363124,7.69257904424666,4.84681485163824,34,120,15,915.3460826
0.991005025125628,0.565174356631643,0.323687074359989,0.225108225108225,0.130653266331658,0.999695446931628,0.8125,0.991292530702637,0.000304553068372182,0.869346733668342,0.1875,0.00870746929736255,428.999999999974,0.86961157654227,6.5686621082221,4.26190652609993,32,120,16,920.0146592
0.990854271356784,0.575046951931374,0.321619728906984,0.247933884297521,0.150753768844221,0.999340135018527,0.697674418604651,0.991489147403938,0.000659864981472968,0.849246231155779,0.302325581395349,0.00851085259606188,228.461538461557,0.84980698902885,8.4529929668993,4.86923146068845,43,120,17,898.3099185
0.99105527638191,0.562712552662301,0.327149520035826,0.219298245614035,0.125628140703518,0.999796964621085,0.862068965517241,0.99124352070857,0.000203035378914751,0.874371859296482,0.137931034482759,0.00875647929142975,618.750000000076,0.874549423770117,8.33629224419855,5.00296499108084,29,120,18,888.4239604
0.991306532663317,0.575275366732653,0.362709453763827,0.257510729613734,0.150753768844221,0.999796964621085,0.882352941176471,0.99149300312091,0.000203035378914751,0.849246231155779,0.117647058823529,0.00850699687908996,742.500000000091,0.84941869320201,8.41227393641196,4.88285029489042,34,120,19,895.8316555
