ACC,ACC_bal,MCC,F1,TPR,TNR,PPV,NPV,FPR,FNR,FDR,FOR,LRp,LRn,sl_omega,f_norm,edge_count,n,round,time
0.995757575757576,0.829591836734694,0.765270972446958,0.758620689655172,0.66,0.999183673469388,0.891891891891892,0.996539792387543,0.000816326530612255,0.34,0.108108108108108,0.0034602076124568,808.49999999999,0.340277777777778,2.22473737855161,8.21580659103965,37,120,1,115.396143
0.998181818181818,0.93969387755102,0.906741682800352,0.907216494845361,0.88,0.999387755102041,0.936170212765957,0.998776259433,0.000612244897959191,0.12,0.0638297872340425,0.00122374056699981,1437.33333333332,0.120073514396569,1.96867851932932,22.1501585954732,47,120,2,116.0027239
0.997373737373737,0.889795918367347,0.860125613564924,0.857142857142857,0.78,0.999591836734694,0.951219512195122,0.997759217763292,0.000408163265306127,0.22,0.0487804878048781,0.00224078223670809,1910.99999999998,0.220089832584728,1.9212600985331,9.63540483502789,41,120,3,114.0308684
0.995959595959596,0.82969387755102,0.7759881579575,0.767441860465116,0.66,0.999387755102041,0.916666666666667,0.996540496540497,0.000612244897959191,0.34,0.0833333333333334,0.00345950345950341,1077.99999999999,0.34020829079028,2.43432573692007,4.11902003967028,36,120,4,115.5870528
0.995555555555556,0.799795918367347,0.748116963146146,0.731707317073171,0.6,0.999591836734694,0.9375,0.995933306222041,0.000408163265306127,0.4,0.0625,0.00406669377795854,1469.99999999998,0.400163331972234,1.93305476080353,2.51425338729401,32,120,5,115.2042846
0.998383838383838,0.939795918367347,0.916663810062387,0.916666666666667,0.88,0.999591836734694,0.956521739130435,0.998776508972268,0.000408163265306127,0.12,0.0434782608695652,0.00122349102773245,2155.99999999997,0.12004899959167,2.08367085400874,21.5238150028552,46,120,6,114.8833249
0.996767676767677,0.909285714285714,0.8352805178212,0.836734693877551,0.82,0.998571428571429,0.854166666666667,0.998164014687883,0.00142857142857145,0.18,0.145833333333333,0.00183598531211748,573.999999999993,0.180257510729614,1.83515778881169,5.39920314397358,48,120,7,115.6053743
0.997171717171717,0.88969387755102,0.849688417653218,0.847826086956522,0.78,0.999387755102041,0.928571428571429,0.997758761206194,0.000612244897959191,0.22,0.0714285714285714,0.002241238793806,1273.99999999998,0.22013477639371,2.02348131500239,7.78568337557676,42,120,8,115.3420687
0.996969696969697,0.899489795918367,0.84176907355197,0.842105263157895,0.8,0.998979591836735,0.888888888888889,0.99796126401631,0.00102040816326532,0.2,0.111111111111111,0.00203873598369009,783.999999999991,0.20020429009193,1.71514797519264,60.6551859647872,45,120,9,115.0008252
0.996363636363636,0.84969387755102,0.80127222578931,0.795454545454545,0.7,0.999387755102041,0.921052631578947,0.996946254071661,0.000612244897959191,0.3,0.0789473684210527,0.00305374592833874,1143.33333333332,0.300183785991423,2.00447279090744,3.22752973974659,38,120,10,114.648159
0.994949494949495,0.799489795918367,0.714824261859154,0.705882352941176,0.6,0.998979591836735,0.857142857142857,0.995930824008138,0.00102040816326532,0.4,0.142857142857143,0.00406917599186163,587.999999999993,0.400408580183861,2.20062265132118,5.30409641257941,35,120,11,115.0520626
0.996767676767677,0.879591836734694,0.827661930785538,0.826086956521739,0.76,0.999183673469388,0.904761904761905,0.997555012224939,0.000816326530612255,0.24,0.0952380952380952,0.00244498777506108,930.999999999989,0.240196078431373,1.97995902895589,8.60933721437733,42,120,12,115.2140226
0.997171717171717,0.899591836734694,0.851411545517655,0.851063829787234,0.8,0.999183673469388,0.909090909090909,0.997961679576029,0.000816326530612255,0.2,0.0909090909090909,0.00203832042397067,979.999999999988,0.20016339869281,1.96682603150755,6.82259089761373,44,120,13,115.4557696
0.996161616161616,0.869387755102041,0.796073699265106,0.795698924731183,0.74,0.998775510204082,0.86046511627907,0.997350723456287,0.00122448979591838,0.26,0.13953488372093,0.00264927654371305,604.333333333326,0.260318757662444,2.2343102148895,3.07506008053374,43,120,14,116.2354035
0.995757575757576,0.809795918367347,0.761345272363447,0.746987951807229,0.62,0.999591836734694,0.939393939393939,0.996135855196258,0.000408163265306127,0.38,0.0606060606060606,0.00386414480374209,1518.99999999998,0.380155165373622,1.68307477705399,2.90178084049899,33,120,15,115.4231913
0.994343434343434,0.759591836734694,0.668899529367642,0.65,0.52,0.999183673469388,0.866666666666667,0.995121951219512,0.000816326530612255,0.48,0.133333333333333,0.00487804878048781,636.999999999992,0.480392156862745,2.31359700063568,2.71965609579085,30,120,16,115.06052
0.995757575757576,0.859285714285714,0.774302622959237,0.774193548387097,0.72,0.998571428571429,0.837209302325581,0.997146932952924,0.00142857142857145,0.28,0.162790697674419,0.00285306704707555,503.999999999994,0.280400572246066,2.02027071340129,6.07276755539282,43,120,17,116.1145057
