p,structure,time
100,random,439.8931285
100,bdgraph_sf,457.8084859
100,huge_sf,444.059486
100,hubs,443.916547
200,random,2891.3479044
200,bdgraph_sf,2887.9350793
200,huge_sf,2879.8339974
200,hubs,2886.1120433
