p,structure,time
100,random,892.0232904
100,bdgraph_sf,842.7464649
100,huge_sf,637.4660267
100,hubs,797.0008792
200,random,10787.0897926
200,bdgraph_sf,15550.8637083
200,huge_sf,9999.883403
200,hubs,12137.3477969
