ACC,ACC_bal,MCC,F1,TPR,TNR,PPV,NPV,FPR,FNR,FDR,FOR,LRp,LRn,sl_omega,f_norm,f_norm_rel,edge_count,n,round,time
0.965427135678392,0.917954545454545,0.308010756037192,0.201856148491879,0.87,0.965909090909091,0.114173228346457,0.999320723168565,0.0340909090909091,0.13,0.885826771653543,0.000679276831434872,25.52,0.134588235294118,7.56664494543932,8.05895136209899,0.154921916951458,762,120,1,207.2600492
0.962713567839196,0.901666666666667,0.28746363260775,0.184615384615385,0.84,0.963333333333333,0.103703703703704,0.999161864850707,0.0366666666666666,0.16,0.896296296296296,0.000838135149292873,22.9090909090909,0.166089965397924,7.12360727283522,15.6484063044355,0.200248763377483,810,120,2,285.1261882
0.963366834170854,0.90199494949495,0.289936731724952,0.187290969899666,0.84,0.963989898989899,0.105395232120452,0.999162435219599,0.036010101010101,0.16,0.894604767879548,0.000837564780400979,23.3267882187938,0.165976842877351,7.61392090176818,7.7451052704816,0.17863908225639,797,120,3,198.7564259
0.961557788944724,0.806565656565657,0.221375220241159,0.145251396648045,0.65,0.963131313131313,0.0817610062893082,0.998168018843235,0.0368686868686868,0.35,0.918238993710692,0.00183198115676519,17.6301369863014,0.363398007341374,7.87418112645844,4.53582669308223,0.225350589642007,795,120,4,181.6585978
0.963718592964824,0.882272727272727,0.278234705508642,0.18140589569161,0.8,0.964545454545455,0.10230179028133,0.998953865467099,0.0354545454545454,0.2,0.89769820971867,0.00104613453290092,22.5641025641026,0.207351555136663,7.69175610497268,7.46117385025836,0.194029836847258,782,120,5,214.9389263
0.963015075376884,0.901818181818182,0.28859775447854,0.185840707964602,0.84,0.963636363636364,0.104477611940299,0.999162128194386,0.0363636363636364,0.16,0.895522388059702,0.000837871805613788,23.1,0.166037735849057,7.72866919763638,8.63087957909445,0.175501874413691,804,120,6,210.4975301
0.963316582914573,0.867146464646465,0.266898049003252,0.17420814479638,0.77,0.964292929292929,0.0982142857142857,0.998796819418288,0.0357070707070707,0.23,0.901785714285714,0.00120318058171165,21.5643564356436,0.238516733881527,8.972515299576,4.831393211297,0.245456762204712,784,120,7,268.9044371
0.963266331658291,0.896969696969697,0.286312294912761,0.185061315496098,0.83,0.963939393939394,0.104140526976161,0.999110087420824,0.036060606060606,0.17,0.895859473023839,0.000889912579176033,23.0168067226891,0.1763596353348,7.59471348970615,7.94538254901913,0.17986419025953,797,120,8,180.1909375
0.962713567839196,0.851919191919192,0.254895197728572,0.166292134831461,0.74,0.963838383838384,0.0936708860759494,0.998639455782313,0.0361616161616162,0.26,0.906329113924051,0.00136054421768705,20.463687150838,0.269754768392371,7.89384660723758,5.318567559612,0.180887995001023,790,120,9,166.0448891
0.960402010050251,0.835833333333333,0.237559278818304,0.152688172043011,0.71,0.961666666666667,0.0855421686746988,0.998479286837965,0.0383333333333333,0.29,0.914457831325301,0.00152071316203461,18.5217391304348,0.30155979202773,8.02207942064908,5.75701998676161,0.173340496391137,830,120,10,185.6118012
0.959145728643216,0.830227272727273,0.230561995418984,0.146904512067156,0.7,0.960454545454545,0.082063305978898,0.998424948810836,0.0395454545454546,0.3,0.917936694021102,0.00157505118916368,17.7011494252874,0.312352106010412,8.60582184718439,4.9826374002238,0.223530888186675,853,120,11,195.098299
0.961005025125628,0.910757575757576,0.287594092083229,0.181434599156118,0.86,0.961515151515152,0.101415094339623,0.999265169011127,0.0384848484848485,0.14,0.898584905660377,0.000734830988872615,22.3464566929134,0.14560352978254,7.90952612536512,15.6336319011137,0.185118563530706,848,120,12,235.3029856
0.962763819095477,0.80219696969697,0.221728076832957,0.147295742232451,0.64,0.964393939393939,0.0832249674902471,0.998118237415713,0.0356060606060606,0.36,0.916775032509753,0.00188176258428729,17.9744680851064,0.373291437549097,7.78616527439567,4.35764324965847,0.229717429488006,769,120,13,179.3230224
0.961105527638191,0.776489898989899,0.200019185079733,0.132286995515695,0.59,0.962979797979798,0.0744949494949495,0.997854301863094,0.0370202020202021,0.41,0.92550505050505,0.00214569813690602,15.9372442019099,0.42576178738134,9.34677676019547,5.05026448006103,0.219064790358327,792,120,14,195.783223
0.96572864321608,0.848459595959596,0.262491726685998,0.176328502415459,0.73,0.966919191919192,0.100274725274725,0.99859169622366,0.033080808080808,0.27,0.899725274725275,0.00140830377634049,22.0671755725191,0.279237398798642,7.12103625352185,5.68664915736027,0.180528878208084,728,120,15,185.0466838
0.964572864321608,0.84290404040404,0.2547994910614,0.169611307420495,0.72,0.965808080808081,0.096128170894526,0.998537935355856,0.0341919191919192,0.28,0.903871829105474,0.00146206464414389,21.0576070901034,0.289912670606077,7.76975630854037,4.36141218185667,0.213671645333379,749,120,16,214.3469283
0.961155778894472,0.816313131313131,0.226780630604582,0.14773980154355,0.67,0.962626262626263,0.0830235439900867,0.998271617870424,0.0373737373737374,0.33,0.916976456009913,0.00172838212957627,17.927027027027,0.342812172088143,8.67779121357964,5.44020288860483,0.212911592405035,807,120,17,191.3047642
0.964572864321608,0.823005050505051,0.241255032363225,0.161712247324614,0.68,0.966010101010101,0.0917678812415655,0.998329766689284,0.033989898989899,0.32,0.908232118758435,0.00167023331071559,20.0059435364041,0.331259476133215,8.50328521335982,4.47236449013856,0.243387637479264,741,120,18,169.7123208
0.963718592964824,0.867348484848485,0.268361750182279,0.175799086757991,0.77,0.96469696969697,0.0992268041237113,0.998797322735829,0.0353030303030303,0.23,0.900773195876289,0.00120267726417067,21.8111587982833,0.238416836814826,8.02329713984963,5.27537910511715,0.197253114459947,776,120,19,187.3134903
