ACC,ACC_bal,MCC,F1,TPR,TNR,PPV,NPV,FPR,FNR,FDR,FOR,LRp,LRn,sl_omega,f_norm,f_norm_rel,edge_count,n,round,time,tau_time
0.953333333333333,0.837662337662338,0.413459828750112,0.380697050938338,0.717171717171717,0.958152958152958,0.259124087591241,0.994011976047904,0.0418470418470418,0.282828282828283,0.740875912408759,0.00598802395209586,17.1379310344828,0.295180722891566,4.20598852607675,6.40006731022308,0.194358726134784,274,120,1,65.433905,182.5547567
0.963636363636364,0.773654916512059,0.393889060309857,0.387755102040816,0.575757575757576,0.971552257266543,0.292307692307692,0.991167192429022,0.0284477427334571,0.424242424242424,0.707692307692308,0.00883280757097793,20.2391304347826,0.436664544875875,3.7852887070293,5.75327329450659,0.258038985067138,195,120,2,39.7740591,146.4374343
0.941616161616162,0.856421356421356,0.393511710180755,0.344671201814059,0.767676767676768,0.945165945165945,0.222222222222222,0.995008680555556,0.0548340548340548,0.232323232323232,0.777777777777778,0.00499131944444442,14,0.245801526717557,3.59643230532225,10.8051420442301,0.220745417854733,342,120,3,62.0551623,181.9605142
0.935959595959596,0.843640486497629,0.367709379790835,0.318279569892473,0.747474747474748,0.939806225520511,0.202185792349727,0.994546247818499,0.0601937744794888,0.252525252525252,0.797814207650273,0.0054537521815009,12.4178082191781,0.268699276157052,3.93993184137224,17.1384542747225,0.350487343448239,366,120,4,81.2949936,266.3316358
0.923636363636364,0.832405689548547,0.332221643351737,0.278625954198473,0.737373737373737,0.927437641723356,0.171764705882353,0.994254143646409,0.072562358276644,0.262626262626263,0.828235294117647,0.00574585635359115,10.1619318181818,0.283174038675261,4.25640330191985,4.77398172459798,0.196626486813989,425,120,5,56.3394323,167.9881188
0.936161616161616,0.863533292104721,0.385622661328169,0.330508474576271,0.787878787878788,0.939187796330654,0.20911528150134,0.995411841817785,0.0608122036693465,0.212121212121212,0.790884718498659,0.00458815818221547,12.9559322033898,0.22585601404741,4.01262318249809,8.64473888210146,0.214768783512373,373,120,6,62.3848131,240.3439822
0.912929292929293,0.861574933003504,0.33838333098485,0.27072758037225,0.808080808080808,0.915069057926201,0.16260162601626,0.995737999102737,0.0849309420737993,0.191919191919192,0.83739837398374,0.00426200089726336,9.51456310679611,0.209731921603965,3.3877294921992,12.3525844080333,0.233902213280804,492,120,7,95.2653649,207.2410503
0.944040404040404,0.842815914244486,0.388104685176517,0.3451536643026,0.737373737373737,0.948258091115234,0.225308641975309,0.994379593601384,0.051741908884766,0.262626262626263,0.774691358024691,0.0056204063986165,14.2509960159363,0.27695652173913,4.2101551501127,8.59582043635434,0.217814246112528,324,120,8,63.8013839,167.3465455
0.976969696969697,0.72108843537415,0.429623190800412,0.441176470588235,0.454545454545455,0.987631416202845,0.428571428571429,0.988854489164087,0.0123685837971552,0.545454545454545,0.571428571428571,0.0111455108359133,36.75,0.552285535378835,3.7504852389084,3.61593218327054,0.252286722855784,105,120,9,34.6640458,111.2631298
0.963030303030303,0.812925170068027,0.430815176217125,0.415335463258786,0.656565656565657,0.969284683570398,0.303738317757009,0.992820945945946,0.0307153164296021,0.343434343434343,0.696261682242991,0.00717905405405406,21.3758389261745,0.35431731178222,3.75082617322258,4.37756646512886,0.200019998075841,214,120,10,46.4005415,136.9103443
0.942828282828283,0.817460317460317,0.361482428945426,0.324582338902148,0.686868686868687,0.948051948051948,0.2125,0.993304535637149,0.051948051948052,0.313131313131313,0.7875,0.00669546436285096,13.2222222222222,0.330289193302892,3.74941267650325,5.09061153364952,0.215807232162433,320,120,11,53.7814155,131.2470836
0.904646464646465,0.887033601319316,0.346210865611181,0.267080745341615,0.868686868686869,0.905380333951763,0.157798165137615,0.997048808172531,0.0946196660482375,0.131313131313131,0.842201834862385,0.00295119182746884,9.18082788671024,0.145036429872495,3.66562013175177,11.5848200315023,0.193455591415508,545,120,12,131.6213361,292.4425236
0.911313131313131,0.885487528344671,0.355056108735725,0.279146141215107,0.858585858585859,0.912389198103484,0.166666666666667,0.996846846846847,0.0876108018965162,0.141414141414141,0.833333333333333,0.00315315315315312,9.8,0.154993221870764,4.1738403928444,16.5633380207856,0.359122374437307,510,120,13,75.6091541,198.2038986
0.945454545454545,0.863327149041435,0.410736721536972,0.363207547169811,0.777777777777778,0.948876520305092,0.236923076923077,0.995243243243243,0.0511234796949083,0.222222222222222,0.763076923076923,0.0047567567567568,15.2137096774194,0.234195090158592,2.89897978628855,8.22657093392219,0.204279475925434,325,120,14,63.8279016,186.0972954
0.95959595959596,0.821067821067821,0.422751572110332,0.401197604790419,0.676767676767677,0.965367965367965,0.285106382978723,0.9932131495228,0.0346320346320347,0.323232323232323,0.714893617021277,0.0067868504772004,19.5416666666666,0.334828101644245,3.50281660143247,4.79186229845046,0.24833612075378,235,120,15,43.4760369,140.4605326
0.968282828282828,0.815605029890744,0.462310254025677,0.452961672473868,0.656565656565657,0.974644403215832,0.345744680851064,0.992860142797144,0.0253555967841682,0.343434343434343,0.654255319148936,0.00713985720285593,25.8943089430894,0.352368866328257,3.95568120663933,4.54945854952964,0.221362671981837,188,120,16,44.7388511,136.7523825
0.942020202020202,0.85168006596578,0.39039835859143,0.34324942791762,0.757575757575758,0.945784374355803,0.22189349112426,0.99479618386817,0.054215625644197,0.242424242424242,0.77810650887574,0.00520381613182996,13.9733840304183,0.256320836965998,3.98016981813031,6.18413238993628,0.197489084802768,338,120,17,70.8541857,154.767702
