ACC,ACC_bal,MCC,F1,TPR,TNR,PPV,NPV,FPR,FNR,FDR,FOR,LRp,LRn,sl_omega,f_norm,f_norm_rel,edge_count,n,round,time,tau_time
0.980808080808081,0.6142032570604,0.348630033912663,0.326241134751773,0.232323232323232,0.996083281797568,0.547619047619048,0.984515077424613,0.00391671820243245,0.767676767676768,0.452380952380952,0.0154849225753871,59.3157894736849,0.770695364238411,5.73996826323685,4.42485154709796,0.360398222622031,42,120,1,25.1783914,78.7493455
0.972121212121212,0.718614718614719,0.384219327580072,0.394736842105263,0.454545454545455,0.982683982683983,0.348837209302326,0.988799004355943,0.0173160173160173,0.545454545454545,0.651162790697674,0.0112009956440573,26.25,0.555066079295154,4.58222312739818,3.81726786380123,0.309975006024811,129,120,2,26.8557012,83.8181667
0.976363636363636,0.76530612244898,0.471651891465459,0.48,0.545454545454545,0.985157699443414,0.428571428571429,0.990671641791045,0.0148423005565863,0.454545454545455,0.571428571428571,0.00932835820895528,36.7499999999999,0.461393596986817,5.2981671608519,3.78716515134058,0.300603793656636,126,120,3,27.5134427,84.1414036
0.982828282828283,0.783446712018141,0.56410998177108,0.57286432160804,0.575757575757576,0.991135848278705,0.57,0.991340206185567,0.00886415172129462,0.424242424242424,0.43,0.00865979381443294,64.9534883720927,0.428036605657238,5.46926798647921,3.96194762051731,0.314851468201353,100,120,4,26.6563146,85.0103325
0.981212121212121,0.53030303030303,0.243856555002066,0.114285714285714,0.0606060606060606,1,1,0.981189320388349,0,0.939393939393939,0,0.0188106796116505,Inf,0.939393939393939,6.44930974154902,5.07518025787013,0.412992167449351,6,120,5,24.027791,84.8840535
0.982626262626263,0.684394970109256,0.467990852627814,0.4625,0.373737373737374,0.995052566481138,0.60655737704918,0.987318470034772,0.00494743351886207,0.626262626262626,0.39344262295082,0.0126815299652281,75.5416666666671,0.629376424280091,5.41307443519435,4.20225132620784,0.340811806804704,61,120,6,25.5255278,80.6130897
0.975959595959596,0.740362811791383,0.441190385464522,0.451612903225806,0.494949494949495,0.985776128633271,0.415254237288136,0.989652317880795,0.0142238713667285,0.505050505050505,0.584745762711864,0.0103476821192053,34.7971014492753,0.512337933918862,4.86766199420491,3.70048460518929,0.29932228272738,118,120,7,26.8846417,84.9493346
0.975353535353535,0.759843331271903,0.456679361069949,0.464912280701754,0.535353535353535,0.98433312719027,0.410852713178295,0.990458411118025,0.01566687280973,0.464646464646465,0.589147286821705,0.00954158888197465,34.1710526315788,0.472041884816754,5.59210294699777,3.84007750782023,0.309410704813297,129,120,8,27.5031017,87.4902144
0.982828282828283,0.620181405895692,0.407431980278453,0.360902255639098,0.242424242424242,0.997938569367141,0.705882352941177,0.984743694060212,0.00206143063285924,0.757575757575758,0.294117647058823,0.0152563059397884,117.599999999998,0.759140673414584,5.71861820576981,4.48757453907561,0.364748155107946,34,120,9,24.8735034,87.4360127
0.979393939393939,0.727272727272727,0.463824979467324,0.474226804123711,0.464646464646465,0.98989898989899,0.484210526315789,0.98908341915551,0.0101010101010101,0.535353535353535,0.515789473684211,0.0109165808444902,46.0000000000002,0.540816326530612,5.1090321603002,3.82390151478183,0.310543162233278,95,120,10,26.4334331,83.8823501
